,precision,recall,f1-score,support
Computational Social Science and Social Media,0.6071428571428571,0.6071428571428571,0.6071428571428571,28.0
Dialogue and Interactive Systems,0.7758620689655172,0.7758620689655172,0.7758620689655173,58.0
Discourse and Pragmatics,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
Ethics and NLP,0.0,0.0,0.0,0.0
Generation,0.55,0.5238095238095238,0.5365853658536585,42.0
Information Extraction,0.5517241379310345,0.2962962962962963,0.38554216867469876,54.0
Information Retrieval and Text Mining,0.14814814814814814,0.18181818181818182,0.16326530612244897,22.0
Interpretability and Analysis of Models for NLP,0.2727272727272727,0.057692307692307696,0.09523809523809523,52.0
"Language Grounding to Vision, Robotics and Beyond",1.0,0.13793103448275862,0.2424242424242424,29.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.3125,0.5555555555555556,0.39999999999999997,9.0
Machine Learning for NLP,0.1984126984126984,0.7142857142857143,0.31055900621118016,70.0
Machine Translation and Multilinguality,0.7215189873417721,0.8260869565217391,0.7702702702702703,69.0
NLP Applications,0.2608695652173913,0.0967741935483871,0.1411764705882353,62.0
"Phonology, Morphology and Word Segmentation",0.4,0.16666666666666666,0.23529411764705882,12.0
Question Answering,0.5555555555555556,0.625,0.5882352941176471,40.0
Resources and Evaluation,0.0,0.0,0.0,0.0
Semantics: Lexical Semantics,1.0,0.0625,0.11764705882352941,16.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.30434782608695654,0.12962962962962962,0.18181818181818182,54.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.3076923076923077,0.14285714285714285,0.1951219512195122,28.0
Speech and Multimodality,0.3333333333333333,0.4444444444444444,0.380952380952381,9.0
Summarization,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
"Syntax: Tagging, Chunking and Parsing",0.5,0.058823529411764705,0.10526315789473684,17.0
accuracy,0.42496493688639553,0.42496493688639553,0.42496493688639553,0.42496493688639553
macro avg,0.4540352204873066,0.34037364051810376,0.3344475464835494,713.0
weighted avg,0.49748883525590787,0.42496493688639553,0.4030161060010781,713.0
